epoch,train_loss_nats,train_bpc,val_loss_nats,val_bpc,is_best
1,2.1104012072925835,3.0446653560470915,1.9212859812293228,2.77182975724903,True
2,1.5578436868291505,2.247493361468595,1.7834454874099186,2.57296796038209,True
3,1.4189752617352445,2.0471485732495562,1.7178340667066772,2.478310689107844,True
4,1.3507693502264964,1.9487482429565737,1.6989228064997346,2.451027507790327,True
5,1.3098502671214896,1.889714484683257,1.6759511433224257,2.417886403243452,True
6,1.2820652421091643,1.8496291668869995,1.6665858079940523,2.4043750804089457,True
7,1.261273848338866,1.8196335262014205,1.6565054247471458,2.389832161488373,True
8,1.2453380168323787,1.7966429811145692,1.6518045224330589,2.383050193032137,True
9,1.2314376612784157,1.7765890070902735,1.6432378237736591,2.3706910593594306,True
10,1.2206583577142636,1.7610377592940345,1.6452381986574565,2.373576990284204,False
